2442,2508
2442,2439
2442,2440
2442,2441
2501,2508
2501,2490
2513,2487
2513,2488
2443,2452
2443,2440
2487,2509
2487,2490
2487,2496
2488,2513
2488,2487
2508,2442
2508,2501
2452,2443
2452,2509
2509,2487
2509,2452
2439,2442
2490,2501
2490,2513
2490,2487
2490,2488
2495,2496
2496,2487
2496,2495
2496,2497
2440,2442
2440,2443
2441,2442
2442,2454
2442,2501
2442,2513
2442,2443
2442,2517
2442,2487
2442,2455
2442,2488
2442,2470
2442,4061
2442,2471
2442,2458
2442,2477
2442,2467
2442,2508
2442,2452
2442,2509
2442,2439
2442,2474
2442,2490
2442,2469
2442,2495
2442,2496
2442,8914
2442,2440
2442,2512
2442,2456
2442,2441
2442,2476
2442,2460
2442,2461
2442,2497
2442,2491
2454,2442
2454,2467
2501,2442
2513,2442
2513,2443
2513,3988
2513,2452
2443,2442
2443,2513
2443,3988
2443,2477
2443,2452
2443,2476
2517,2442
2487,2442
2487,2509
2455,2442
2488,2442
3988,2513
3988,2443
3988,4061
3988,2471
3988,2452
3988,2490
3988,2440
3988,2497
2470,2442
4061,2442
4061,3988
4061,2497
2471,2442
2471,3988
2471,2476
2458,2442
2477,2442
2477,2443
2467,2442
2508,2442
2452,2442
2452,2513
2452,2443
2452,3988
2452,2509
2452,2476
2509,2442
2509,2487
2509,2452
2439,2442
2474,2442
2490,2442
2490,3988
2469,2442
2495,2442
2496,2442
8914,2442
2440,2442
2440,3988
2512,2454
2456,2442
2441,2442
2476,2442
2476,2443
2476,2471
2476,2452
2460,2442
2461,2442
2497,2442
2497,3988
2497,4061
2491,2490
3988,4061
4061,2497
2442,2501
2442,2513
2442,2443
2442,2487
2442,2471
2442,2452
2442,2509
2442,2496
2442,2476
2442,2460
2442,2461
2442,2497
2501,2442
2513,2442
2443,2442
2487,2442
2471,2442
2452,2442
2509,2442
2496,2442
2476,2442
2460,2442
2461,2452
2497,2442
2442,2492
2442,2476
2492,2442
2476,2442
