2508,Ástor Piazzola International Airport,Mar Del Plata,Argentina,-37.9342,-57.5733
2509,Presidente Peron Airport,Neuquen,Argentina,-38.9490013123,-68.1557006836
2511,Comodoro Pedro Zanni Airport,Pehuajo,Argentina,-35.8446,-61.8576
2512,Santa Rosa Airport,Santa Rosa,Argentina,-36.588299,-64.27570300000001
2513,San Carlos De Bariloche Airport,San Carlos De Bariloche,Argentina,-41.1511993408,-71.1575012207
2514,Héroes De Malvinas Airport,Tandil,Argentina,-37.2374000549,-59.227901458699996
2515,Villa Gesell Airport,Villa Gesell,Argentina,-37.2354,-57.0292
2516,Cutral-Co Airport,Cutralco,Argentina,-38.939701080300004,-69.2646026611
2517,Aviador C. Campos Airport,San Martin Des Andes,Argentina,-40.0754013062,-71.13729858399999
3988,Ministro Pistarini International Airport,Buenos Aires,Argentina,-34.8222,-58.5358
4061,El Calafate Airport,El Calafate,Argentina,-50.2803,-72.053101
6027,General Enrique Mosconi Airport,Tartagal,Argentina,-22.619600295999998,-63.7937011719
6028,Las Heras Airport,Las Heras,Argentina,-46.53829956049999,-68.9653015137
6029,Antoine De St Exupery Airport,San Antonio Oeste,Argentina,-40.7512,-65.0343
6030,Lago Argentino Airport,El Calafate,Argentina,-50.336102000000004,-72.24859599999999
6031,Gobernador Gregores Airport,Gobernador Gregores,Argentina,-48.7831001282,-70.1500015259
6032,Santa Teresita Airport,Santa Teresita,Argentina,-36.5423,-56.7218
6033,Necochea Airport,Necochea,Argentina,-38.4831,-58.8172
7221,Zapala Airport,ZAPALA,Argentina,-38.975497999999995,-70.113602
7222,Rincon De Los Sauces Airport,Rincon de los Sauces,Argentina,-37.3905982971,-68.9041976929
7229,Sierra Grande Airport,Sierra Grande,Argentina,-41.5917015076,-65.33940124509999
7230,Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,Argentina,-41.3208999634,-69.5748977661
7311,D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,-45.013599,-70.812202
7312,Jose De San Martin Airport,Jose de San Martin,Argentina,-44.048599243199995,-70.4589004517
8914,Termas de Río Hondo international Airport,Rio Hondo,Argentina,-27.4966,-64.93595
11433,Tolwin Observatory Airport,Tolhuin,Argentina,-54.521900177,-67.1989974976
11929,Presidente Néstor Kirchner Regionsl Airport,Villa Maria,Argentina,-32.3201,-63.22663000000001
